Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
0.00	0.00	0.00	0.00	0.00398
0.00	0.00700	0.00	0.0233	0.00578
0.00	0.0150	0.00	0.0501	0.00757
0.00	0.0251	0.00	0.0835	0.00936
0.00	0.0340	0.00	0.113	0.0112
0.00	0.0439	0.00	0.146	0.0129
0.00	0.0519	0.00	0.173	0.0147
0.00	0.0609	0.00	0.203	0.0165
0.00	0.0700	0.00	0.233	0.0183
0.00	0.0793	0.00	0.264	0.0201
0.00	0.0886	0.00	0.295	0.0219
0.00	0.0969	0.00	0.323	0.0237
0.00	0.106	0.00	0.354	0.0255
0.00	0.115	0.00	0.384	0.0273
0.00	0.124	0.00	0.414	0.0291
0.00	0.133	0.00	0.443	0.0309
0.833	0.142	0.0339	0.473	0.0327
0.833	0.151	0.0339	0.504	0.0344
0.00	0.160	0.00	0.534	0.0362
0.00	0.169	0.00	0.562	0.0380
0.833	0.178	0.0339	0.593	0.0398
0.833	0.187	0.0339	0.623	0.0416
0.00	0.195	0.00	0.650	0.0434
0.00	0.204	0.00	0.681	0.0452
0.833	0.214	0.0339	0.713	0.0470
0.833	0.223	0.0339	0.743	0.0488
0.833	0.232	0.0339	0.772	0.0506
0.833	0.240	0.0339	0.801	0.0524
0.833	0.250	0.0339	0.832	0.0542
0.833	0.259	0.0339	0.862	0.0560
0.833	0.267	0.0339	0.891	0.0577
0.833	0.277	0.0339	0.922	0.0595
0.833	0.285	0.0339	0.951	0.0613
0.833	0.295	0.0339	0.983	0.0631
0.833	0.303	0.0339	1.01	0.0649
0.833	0.313	0.0339	1.04	0.0667
0.833	0.321	0.0339	1.07	0.0685
0.833	0.330	0.0339	1.10	0.0703
0.833	0.339	0.0339	1.13	0.0721
0.833	0.348	0.0339	1.16	0.0739
0.833	0.357	0.0339	1.19	0.0757
0.833	0.366	0.0339	1.22	0.0775
0.833	0.375	0.0339	1.25	0.0793
0.833	0.384	0.0339	1.28	0.0810
0.833	0.393	0.0339	1.31	0.0828
0.833	0.403	0.0339	1.34	0.0846
0.833	0.411	0.0339	1.37	0.0864
0.833	0.420	0.0339	1.40	0.0882
0.833	0.429	0.0339	1.43	0.0900
0.833	0.438	0.0339	1.46	0.0918
0.833	0.447	0.0339	1.49	0.0936
0.833	0.455	0.0339	1.52	0.0954
0.833	0.464	0.0339	1.55	0.0972
0.833	0.474	0.0339	1.58	0.0990
0.833	0.482	0.0339	1.61	0.101
0.833	0.491	0.0339	1.64	0.103
0.833	0.500	0.0339	1.67	0.104
0.833	0.509	0.0339	1.70	0.106
0.833	0.518	0.0339	1.73	0.108
1.67	0.527	0.0678	1.76	0.110
0.833	0.536	0.0339	1.79	0.112
1.67	0.545	0.0678	1.82	0.113
1.67	0.554	0.0678	1.85	0.115
0.959	0.563	0.0390	1.88	0.117
1.67	0.572	0.0678	1.91	0.119
1.67	0.580	0.0678	1.93	0.120
1.67	0.590	0.0678	1.97	0.122
1.67	0.599	0.0678	2.00	0.124
1.67	0.608	0.0678	2.03	0.126
1.67	0.616	0.0678	2.05	0.128
0.833	0.625	0.0339	2.08	0.129
1.67	0.635	0.0678	2.12	0.131
1.67	0.644	0.0678	2.15	0.133
1.67	0.653	0.0678	2.18	0.135
1.67	0.662	0.0678	2.21	0.137
1.67	0.670	0.0678	2.23	0.138
1.67	0.679	0.0678	2.26	0.140
1.67	0.689	0.0678	2.30	0.142
1.67	0.698	0.0678	2.33	0.144
1.67	0.706	0.0678	2.35	0.146
1.67	0.716	0.0678	2.39	0.147
1.67	0.723	0.0678	2.41	0.149
1.67	0.734	0.0678	2.45	0.151
1.67	0.743	0.0678	2.48	0.153
1.67	0.751	0.0678	2.50	0.155
1.67	0.760	0.0678	2.53	0.156
1.67	0.769	0.0678	2.56	0.158
1.67	0.779	0.0678	2.60	0.160
1.67	0.787	0.0678	2.62	0.162
1.67	0.796	0.0678	2.65	0.163
1.67	0.806	0.0678	2.69	0.165
1.67	0.814	0.0678	2.71	0.167
1.67	0.822	0.0678	2.74	0.169
1.67	0.832	0.0678	2.77	0.171
1.67	0.840	0.0678	2.80	0.172
1.67	0.849	0.0678	2.83	0.174
1.67	0.859	0.0678	2.86	0.176
1.67	0.868	0.0678	2.89	0.178
1.67	0.877	0.0678	2.92	0.180
1.67	0.886	0.0678	2.95	0.181
2.50	0.895	0.102	2.98	0.183
1.67	0.904	0.0678	3.01	0.185
1.67	0.913	0.0678	3.04	0.187
1.67	0.922	0.0678	3.07	0.189
1.67	0.930	0.0678	3.10	0.190
1.67	0.940	0.0678	3.13	0.192
1.67	0.948	0.0678	3.16	0.194
1.78	0.957	0.0726	3.19	0.196
1.67	0.966	0.0678	3.22	0.198
1.67	0.976	0.0678	3.25	0.199
1.67	0.984	0.0678	3.28	0.201
1.67	0.993	0.0678	3.31	0.203
2.50	1.00	0.102	3.34	0.205
2.50	1.01	0.102	3.37	0.206
2.50	1.02	0.102	3.40	0.208
2.50	1.03	0.102	3.43	0.210
2.50	1.04	0.102	3.46	0.212
2.50	1.05	0.102	3.49	0.214
2.50	1.06	0.102	3.52	0.215
2.50	1.06	0.102	3.55	0.217
2.50	1.07	0.102	3.58	0.219
2.50	1.08	0.102	3.61	0.221
2.50	1.09	0.102	3.64	0.223
2.50	1.10	0.102	3.67	0.224
2.50	1.11	0.102	3.70	0.226
2.50	1.12	0.102	3.73	0.228
2.50	1.13	0.102	3.76	0.230
2.50	1.14	0.102	3.79	0.232
2.50	1.15	0.102	3.82	0.233
2.50	1.15	0.102	3.85	0.235
2.50	1.16	0.102	3.88	0.237
2.50	1.17	0.102	3.91	0.239
2.50	1.18	0.102	3.94	0.241
2.50	1.19	0.102	3.97	0.242
2.50	1.20	0.102	4.00	0.244
2.50	1.21	0.102	4.03	0.246
2.50	1.22	0.102	4.06	0.248
2.50	1.23	0.102	4.09	0.249
2.50	1.24	0.102	4.12	0.251
2.50	1.24	0.102	4.15	0.253
2.50	1.25	0.102	4.18	0.255
2.50	1.26	0.102	4.21	0.257
2.50	1.27	0.102	4.23	0.258
2.50	1.28	0.102	4.26	0.260
2.50	1.29	0.102	4.30	0.262
2.50	1.30	0.102	4.33	0.264
2.50	1.31	0.102	4.36	0.266
2.50	1.32	0.102	4.39	0.267
2.50	1.32	0.102	4.42	0.269
2.50	1.33	0.102	4.45	0.271
2.50	1.34	0.102	4.47	0.273
2.50	1.35	0.102	4.51	0.275
2.50	1.36	0.102	4.54	0.276
3.33	1.37	0.136	4.57	0.278
3.28	1.38	0.133	4.59	0.280
2.50	1.39	0.102	4.63	0.282
2.50	1.40	0.102	4.65	0.284
2.50	1.41	0.102	4.68	0.285
3.33	1.41	0.136	4.71	0.287
3.33	1.42	0.136	4.75	0.289
3.33	1.43	0.136	4.77	0.291
3.33	1.44	0.136	4.80	0.293
3.33	1.45	0.136	4.83	0.294
3.33	1.46	0.136	4.86	0.296
3.33	1.47	0.136	4.89	0.298
3.33	1.48	0.136	4.92	0.300
3.33	1.49	0.136	4.95	0.301
3.33	1.50	0.136	4.98	0.303
3.33	1.50	0.136	5.01	0.305
3.33	1.51	0.136	5.04	0.307
3.33	1.52	0.136	5.07	0.309
3.33	1.53	0.136	5.10	0.310
3.33	1.54	0.136	5.13	0.312
3.33	1.55	0.136	5.16	0.314
3.33	1.56	0.136	5.19	0.316
3.33	1.57	0.136	5.22	0.318
3.33	1.58	0.136	5.25	0.319
3.33	1.58	0.136	5.28	0.321
3.33	1.59	0.136	5.31	0.323
3.33	1.60	0.136	5.34	0.325
3.33	1.61	0.136	5.37	0.327
3.33	1.62	0.136	5.40	0.328
3.33	1.63	0.136	5.43	0.330
3.33	1.64	0.136	5.46	0.332
3.33	1.65	0.136	5.49	0.334
3.33	1.66	0.136	5.52	0.336
3.33	1.67	0.136	5.55	0.337
4.17	1.67	0.170	5.58	0.339
3.33	1.68	0.136	5.61	0.341
3.33	1.69	0.136	5.64	0.343
4.17	1.70	0.170	5.67	0.344
3.33	1.71	0.136	5.70	0.346
4.17	1.72	0.170	5.73	0.348
3.33	1.73	0.136	5.76	0.350
3.33	1.74	0.136	5.79	0.352
3.33	1.75	0.136	5.82	0.353
4.17	1.75	0.170	5.85	0.355
4.13	1.76	0.168	5.88	0.357
3.33	1.77	0.136	5.91	0.359
4.17	1.78	0.170	5.94	0.361
4.17	1.79	0.170	5.97	0.362
4.17	1.80	0.170	6.00	0.364
3.74	1.81	0.152	6.03	0.366
3.33	1.82	0.136	6.06	0.368
4.17	1.83	0.170	6.09	0.370
4.17	1.84	0.170	6.12	0.371
4.17	1.85	0.170	6.15	0.373
3.33	1.85	0.136	6.18	0.375
4.17	1.86	0.170	6.21	0.377
3.53	1.87	0.144	6.24	0.379
3.33	1.88	0.136	6.27	0.380
4.17	1.89	0.170	6.30	0.382
4.17	1.90	0.170	6.33	0.384
4.17	1.91	0.170	6.36	0.386
3.97	1.92	0.162	6.38	0.387
4.17	1.93	0.170	6.42	0.389
4.17	1.93	0.170	6.45	0.391
4.17	1.94	0.170	6.48	0.393
4.17	1.95	0.170	6.51	0.395
4.17	1.96	0.170	6.54	0.396
4.17	1.97	0.170	6.57	0.398
4.17	1.98	0.170	6.60	0.400
4.17	1.99	0.170	6.63	0.402
4.17	2.00	0.170	6.66	0.404
4.17	2.01	0.170	6.69	0.405
4.17	2.01	0.170	6.71	0.407
4.17	2.02	0.170	6.75	0.409
4.17	2.03	0.170	6.77	0.411
4.17	2.04	0.170	6.80	0.413
4.17	2.05	0.170	6.83	0.414
4.17	2.06	0.170	6.87	0.416
4.17	2.07	0.170	6.90	0.418
4.17	2.08	0.170	6.92	0.420
5.00	2.09	0.203	6.95	0.422
4.17	2.10	0.170	6.98	0.423
4.17	2.10	0.170	7.02	0.425
4.17	2.11	0.170	7.04	0.427
4.17	2.12	0.170	7.08	0.429
5.00	2.13	0.203	7.10	0.430
4.17	2.14	0.170	7.13	0.432
5.00	2.15	0.203	7.16	0.434
5.00	2.16	0.203	7.19	0.436
4.17	2.17	0.170	7.22	0.438
5.00	2.18	0.203	7.25	0.439
5.00	2.19	0.203	7.28	0.441
4.17	2.19	0.170	7.31	0.443
5.00	2.20	0.203	7.34	0.445
4.17	2.21	0.170	7.37	0.447
4.17	2.22	0.170	7.40	0.448
5.00	2.23	0.203	7.43	0.450
5.00	2.24	0.203	7.46	0.452
5.00	2.25	0.203	7.49	0.454
5.00	2.26	0.203	7.52	0.456
4.96	2.27	0.202	7.55	0.457
5.00	2.27	0.203	7.58	0.459
5.00	2.28	0.203	7.61	0.461
5.00	2.29	0.203	7.64	0.463
5.00	2.30	0.203	7.67	0.465
5.00	2.31	0.203	7.70	0.466
5.00	2.32	0.203	7.73	0.468
5.00	2.33	0.203	7.76	0.470
5.00	2.34	0.203	7.79	0.472
5.00	2.35	0.203	7.82	0.474
5.00	2.36	0.203	7.85	0.475
5.00	2.36	0.203	7.88	0.477
5.00	2.37	0.203	7.91	0.479
5.00	2.38	0.203	7.94	0.481
5.00	2.39	0.203	7.97	0.482
5.00	2.40	0.203	8.00	0.484
5.00	2.41	0.203	8.03	0.486
5.00	2.42	0.203	8.06	0.488
5.00	2.43	0.203	8.09	0.490
5.00	2.44	0.203	8.12	0.491
5.00	2.44	0.203	8.15	0.493
5.00	2.45	0.203	8.18	0.495
5.00	2.46	0.203	8.21	0.497
5.00	2.47	0.203	8.24	0.499
5.00	2.48	0.203	8.27	0.500
5.00	2.49	0.203	8.30	0.502
5.00	2.50	0.203	8.33	0.504
5.00	2.51	0.203	8.36	0.506
5.00	2.52	0.203	8.39	0.508
5.00	2.53	0.203	8.42	0.509
5.00	2.53	0.203	8.45	0.511
5.60	2.54	0.228	8.48	0.513
5.00	2.55	0.203	8.51	0.515
5.00	2.56	0.203	8.54	0.517
5.00	2.57	0.203	8.57	0.518
5.83	2.58	0.237	8.60	0.520
5.83	2.59	0.237	8.63	0.522
5.83	2.60	0.237	8.66	0.524
5.83	2.61	0.237	8.69	0.525
5.83	2.61	0.237	8.72	0.527
5.20	2.62	0.212	8.75	0.529
5.83	2.63	0.237	8.78	0.531
5.23	2.64	0.213	8.80	0.533
5.83	2.65	0.237	8.84	0.534
5.83	2.66	0.237	8.87	0.536
5.83	2.67	0.237	8.89	0.538
5.83	2.68	0.237	8.93	0.540
5.83	2.69	0.237	8.96	0.542
5.83	2.70	0.237	8.98	0.543
5.83	2.70	0.237	9.02	0.545
5.83	2.71	0.237	9.05	0.547
5.83	2.72	0.237	9.08	0.549
5.83	2.73	0.237	9.10	0.551
5.83	2.74	0.237	9.14	0.552
5.83	2.75	0.237	9.17	0.554
5.83	2.76	0.237	9.19	0.556
5.83	2.77	0.237	9.23	0.558
5.83	2.78	0.237	9.25	0.560
5.83	2.79	0.237	9.29	0.561
5.83	2.79	0.237	9.32	0.563
5.83	2.80	0.237	9.34	0.565
5.83	2.81	0.237	9.37	0.567
5.83	2.82	0.237	9.40	0.568
5.83	2.83	0.237	9.43	0.570
5.83	2.84	0.237	9.46	0.572
5.83	2.85	0.237	9.49	0.574
5.83	2.86	0.237	9.52	0.576
5.83	2.87	0.237	9.55	0.577
5.83	2.87	0.237	9.58	0.579
5.83	2.88	0.237	9.61	0.581
5.83	2.89	0.237	9.64	0.583
5.83	2.90	0.237	9.67	0.585
5.83	2.91	0.237	9.70	0.586
5.83	2.92	0.237	9.73	0.588
5.83	2.93	0.237	9.76	0.590
5.83	2.94	0.237	9.79	0.592
5.83	2.95	0.237	9.82	0.594
5.83	2.96	0.237	9.85	0.595
5.83	2.96	0.237	9.88	0.597
5.83	2.97	0.237	9.91	0.599
5.83	2.98	0.237	9.94	0.601
5.83	2.99	0.237	9.97	0.603
5.83	3.00	0.237	10.0	0.604
5.83	3.01	0.237	10.0	0.606
5.83	3.02	0.237	10.1	0.608
5.83	3.03	0.237	10.1	0.610
6.67	3.04	0.271	10.1	0.611
6.67	3.05	0.271	10.2	0.613
6.16	3.05	0.251	10.2	0.615
6.67	3.06	0.271	10.2	0.617
6.33	3.07	0.258	10.2	0.619
6.67	3.08	0.271	10.3	0.620
6.67	3.09	0.271	10.3	0.622
6.67	3.10	0.271	10.3	0.624
6.67	3.11	0.271	10.4	0.626
6.67	3.12	0.271	10.4	0.628
6.67	3.13	0.271	10.4	0.629
6.67	3.13	0.271	10.4	0.631
6.67	3.14	0.271	10.5	0.633
6.67	3.15	0.271	10.5	0.635
6.67	3.16	0.271	10.5	0.637
6.67	3.17	0.271	10.6	0.638
6.67	3.18	0.271	10.6	0.640
6.67	3.19	0.271	10.6	0.642
6.67	3.20	0.271	10.7	0.644
6.67	3.21	0.271	10.7	0.646
6.67	3.22	0.271	10.7	0.647
6.67	3.22	0.271	10.7	0.649
6.67	3.23	0.271	10.8	0.651
6.67	3.24	0.271	10.8	0.653
6.67	3.25	0.271	10.8	0.655
6.67	3.26	0.271	10.9	0.656
6.67	3.27	0.271	10.9	0.658
6.67	3.28	0.271	10.9	0.660
6.67	3.29	0.271	11.0	0.662
6.67	3.30	0.271	11.0	0.663
6.67	3.31	0.271	11.0	0.665
6.67	3.31	0.271	11.0	0.667
6.67	3.32	0.271	11.1	0.669
6.67	3.33	0.271	11.1	0.671
6.67	3.34	0.271	11.1	0.672
6.67	3.35	0.271	11.2	0.674
6.67	3.36	0.271	11.2	0.676
6.67	3.37	0.271	11.2	0.678
6.67	3.38	0.271	11.3	0.680
6.67	3.39	0.271	11.3	0.681
6.67	3.39	0.271	11.3	0.683
6.67	3.40	0.271	11.3	0.685
6.67	3.41	0.271	11.4	0.687
6.67	3.42	0.271	11.4	0.689
6.67	3.43	0.271	11.4	0.690
7.50	3.44	0.305	11.5	0.692
7.50	3.45	0.305	11.5	0.694
6.67	3.46	0.271	11.5	0.696
7.50	3.47	0.305	11.6	0.698
7.50	3.48	0.305	11.6	0.699
7.50	3.48	0.305	11.6	0.701
7.50	3.49	0.305	11.6	0.703
7.50	3.50	0.305	11.7	0.705
7.50	3.51	0.305	11.7	0.706
7.50	3.52	0.305	11.7	0.708
7.50	3.53	0.305	11.8	0.710
7.50	3.54	0.305	11.8	0.712
7.50	3.55	0.305	11.8	0.714
7.50	3.56	0.305	11.9	0.715
7.50	3.57	0.305	11.9	0.717
7.50	3.57	0.305	11.9	0.719
7.50	3.58	0.305	11.9	0.721
7.50	3.59	0.305	12.0	0.723
7.50	3.60	0.305	12.0	0.724
7.50	3.61	0.305	12.0	0.726
7.50	3.62	0.305	12.1	0.728
7.50	3.63	0.305	12.1	0.730
7.50	3.64	0.305	12.1	0.732
7.50	3.65	0.305	12.2	0.733
7.50	3.65	0.305	12.2	0.735
7.50	3.66	0.305	12.2	0.737
7.50	3.67	0.305	12.2	0.739
7.50	3.68	0.305	12.3	0.741
7.50	3.69	0.305	12.3	0.742
7.50	3.70	0.305	12.3	0.744
7.50	3.71	0.305	12.4	0.746
7.50	3.72	0.305	12.4	0.748
7.50	3.73	0.305	12.4	0.749
7.50	3.74	0.305	12.5	0.751
7.50	3.74	0.305	12.5	0.753
7.50	3.75	0.305	12.5	0.755
7.50	3.76	0.305	12.5	0.757
7.50	3.77	0.305	12.6	0.758
8.33	3.78	0.339	12.6	0.760
8.33	3.79	0.339	12.6	0.762
7.50	3.80	0.305	12.7	0.764
7.50	3.81	0.305	12.7	0.766
7.50	3.82	0.305	12.7	0.767
7.50	3.82	0.305	12.7	0.769
7.50	3.83	0.305	12.8	0.771
7.50	3.84	0.305	12.8	0.773
7.55	3.85	0.307	12.8	0.775
8.33	3.86	0.339	12.9	0.776
8.33	3.87	0.339	12.9	0.778
8.33	3.88	0.339	12.9	0.780
8.33	3.89	0.339	13.0	0.782
8.33	3.90	0.339	13.0	0.784
8.33	3.91	0.339	13.0	0.785
8.33	3.91	0.339	13.0	0.787
8.33	3.92	0.339	13.1	0.789
8.33	3.93	0.339	13.1	0.791
8.33	3.94	0.339	13.1	0.792
8.33	3.95	0.339	13.2	0.794
8.33	3.96	0.339	13.2	0.796
8.33	3.97	0.339	13.2	0.798
8.33	3.98	0.339	13.3	0.800
8.33	3.99	0.339	13.3	0.801
8.33	4.00	0.339	13.3	0.803
8.33	4.00	0.339	13.3	0.805
8.33	4.01	0.339	13.4	0.807
8.33	4.02	0.339	13.4	0.809
8.33	4.03	0.339	13.4	0.810
8.33	4.04	0.339	13.5	0.812
8.33	4.05	0.339	13.5	0.814
8.33	4.06	0.339	13.5	0.816
8.33	4.07	0.339	13.6	0.818
8.33	4.08	0.339	13.6	0.819
8.33	4.08	0.339	13.6	0.821
8.33	4.09	0.339	13.6	0.823
8.33	4.10	0.339	13.7	0.825
8.33	4.11	0.339	13.7	0.827
8.33	4.12	0.339	13.7	0.828
8.33	4.13	0.339	13.8	0.830
9.17	4.14	0.373	13.8	0.832
8.33	4.15	0.339	13.8	0.834
8.33	4.16	0.339	13.9	0.836
9.17	4.16	0.373	13.9	0.837
8.33	4.17	0.339	13.9	0.839
9.17	4.18	0.373	13.9	0.841
9.14	4.19	0.372	14.0	0.843
9.17	4.20	0.373	14.0	0.844
9.17	4.21	0.373	14.0	0.846
8.65	4.22	0.352	14.1	0.848
8.33	4.23	0.339	14.1	0.850
8.33	4.24	0.339	14.1	0.852
9.17	4.25	0.373	14.2	0.853
9.17	4.26	0.373	14.2	0.855
8.33	4.26	0.339	14.2	0.857
8.33	4.27	0.339	14.2	0.859
9.17	4.28	0.373	14.3	0.861
9.17	4.29	0.373	14.3	0.862
9.17	4.30	0.373	14.3	0.864
9.17	4.31	0.373	14.4	0.866
9.17	4.32	0.373	14.4	0.868
9.17	4.33	0.373	14.4	0.870
9.17	4.34	0.373	14.5	0.871
9.17	4.34	0.373	14.5	0.873
9.17	4.35	0.373	14.5	0.875
9.17	4.36	0.373	14.5	0.877
9.17	4.37	0.373	14.6	0.879
9.17	4.38	0.373	14.6	0.880
9.17	4.39	0.373	14.6	0.882
9.17	4.40	0.373	14.7	0.884
9.17	4.41	0.373	14.7	0.886
9.17	4.42	0.373	14.7	0.887
9.17	4.42	0.373	14.7	0.889
9.17	4.43	0.373	14.8	0.891
9.17	4.44	0.373	14.8	0.893
9.17	4.45	0.373	14.8	0.895
9.17	4.46	0.373	14.9	0.896
9.17	4.47	0.373	14.9	0.898
9.17	4.48	0.373	14.9	0.900
9.17	4.49	0.373	15.0	0.902
9.17	4.50	0.373	15.0	0.904
9.17	4.51	0.373	15.0	0.905
9.17	4.52	0.373	15.1	0.907
10.0	4.52	0.407	15.1	0.909
9.17	4.53	0.373	15.1	0.911
9.81	4.54	0.399	15.1	0.913
9.17	4.55	0.373	15.2	0.914
9.17	4.56	0.373	15.2	0.916
10.0	4.57	0.407	15.2	0.918
9.17	4.58	0.373	15.3	0.920
9.17	4.59	0.373	15.3	0.922
10.0	4.60	0.407	15.3	0.923
10.0	4.60	0.407	15.3	0.925
10.0	4.61	0.407	15.4	0.927
9.17	4.62	0.373	15.4	0.929
9.17	4.63	0.373	15.4	0.930
10.0	4.64	0.407	15.5	0.932
10.0	4.65	0.407	15.5	0.934
9.17	4.66	0.373	15.5	0.936
9.40	4.67	0.383	15.6	0.938
10.0	4.68	0.407	15.6	0.939
10.0	4.69	0.407	15.6	0.941
10.0	4.69	0.407	15.6	0.943
10.0	4.70	0.407	15.7	0.945
10.0	4.71	0.407	15.7	0.947
10.0	4.72	0.407	15.7	0.948
10.0	4.73	0.407	15.8	0.950
10.0	4.74	0.407	15.8	0.952
10.0	4.75	0.407	15.8	0.954
10.0	4.76	0.407	15.9	0.956
10.0	4.77	0.407	15.9	0.957
10.0	4.77	0.407	15.9	0.959
10.0	4.78	0.407	15.9	0.961
10.0	4.79	0.407	16.0	0.963
10.0	4.80	0.407	16.0	0.965
10.0	4.81	0.407	16.0	0.966
10.0	4.82	0.407	16.1	0.968
10.0	4.83	0.407	16.1	0.970
10.0	4.84	0.407	16.1	0.972
10.0	4.85	0.407	16.2	0.973
10.8	4.86	0.441	16.2	0.975
10.0	4.86	0.407	16.2	0.977
10.0	4.87	0.407	16.2	0.979
10.0	4.88	0.407	16.3	0.981
10.0	4.89	0.407	16.3	0.982
10.0	4.90	0.407	16.3	0.984
10.0	4.91	0.407	16.4	0.986
10.0	4.92	0.407	16.4	0.988
10.8	4.93	0.441	16.4	0.990
10.0	4.94	0.407	16.5	0.991
10.0	4.94	0.407	16.5	0.993
10.8	4.95	0.441	16.5	0.995
10.0	4.96	0.407	16.5	0.997
10.0	4.97	0.407	16.6	0.999
10.0	4.98	0.407	16.6	1.00
10.0	4.99	0.407	16.6	1.00
10.8	5.00	0.441	16.7	1.00
10.8	5.01	0.441	16.7	1.01
10.8	5.02	0.441	16.7	1.01
10.0	5.02	0.407	16.7	1.01
10.8	5.03	0.441	16.8	1.01
10.6	5.04	0.432	16.8	1.01
10.3	5.05	0.418	16.8	1.01
10.4	5.06	0.422	16.9	1.02
10.8	5.07	0.441	16.9	1.02
10.8	5.08	0.441	16.9	1.02
10.8	5.09	0.441	17.0	1.02
10.8	5.10	0.441	17.0	1.02
10.8	5.11	0.441	17.0	1.03
10.8	5.11	0.441	17.0	1.03
10.8	5.12	0.441	17.1	1.03
10.8	5.13	0.441	17.1	1.03
10.8	5.14	0.441	17.1	1.03
10.8	5.15	0.441	17.2	1.03
10.8	5.16	0.441	17.2	1.04
10.8	5.17	0.441	17.2	1.04
10.8	5.18	0.441	17.3	1.04
10.8	5.19	0.441	17.3	1.04
10.8	5.20	0.441	17.3	1.04
10.8	5.20	0.441	17.3	1.05
10.8	5.21	0.441	17.4	1.05
10.8	5.22	0.441	17.4	1.05
10.8	5.23	0.441	17.4	1.05
10.8	5.24	0.441	17.5	1.05
10.8	5.25	0.441	17.5	1.05
10.8	5.26	0.441	17.5	1.06
10.8	5.27	0.441	17.6	1.06
10.8	5.28	0.441	17.6	1.06
10.8	5.28	0.441	17.6	1.06
11.7	5.29	0.475	17.6	1.06
11.7	5.30	0.475	17.7	1.06
11.2	5.31	0.456	17.7	1.07
11.7	5.32	0.475	17.7	1.07
10.8	5.33	0.441	17.8	1.07
10.8	5.34	0.441	17.8	1.07
11.7	5.35	0.475	17.8	1.07
11.7	5.36	0.475	17.9	1.08
11.7	5.37	0.475	17.9	1.08
11.0	5.37	0.447	17.9	1.08
11.7	5.38	0.475	17.9	1.08
11.7	5.39	0.475	18.0	1.08
11.7	5.40	0.475	18.0	1.08
11.7	5.41	0.475	18.0	1.09
11.7	5.42	0.475	18.1	1.09
11.7	5.43	0.475	18.1	1.09
11.7	5.44	0.475	18.1	1.09
11.7	5.45	0.475	18.2	1.09
11.5	5.46	0.470	18.2	1.10
11.7	5.46	0.475	18.2	1.10
11.7	5.47	0.475	18.2	1.10
11.7	5.48	0.475	18.3	1.10
11.7	5.49	0.475	18.3	1.10
11.7	5.50	0.475	18.3	1.10
11.7	5.51	0.475	18.4	1.11
11.7	5.52	0.475	18.4	1.11
11.7	5.53	0.475	18.4	1.11
11.7	5.54	0.475	18.5	1.11
11.7	5.54	0.475	18.5	1.11
11.7	5.55	0.475	18.5	1.12
11.7	5.56	0.475	18.5	1.12
11.7	5.57	0.475	18.6	1.12
11.7	5.58	0.475	18.6	1.12
11.7	5.59	0.475	18.6	1.12
11.7	5.60	0.475	18.7	1.12
11.7	5.61	0.475	18.7	1.13
11.7	5.62	0.475	18.7	1.13
11.7	5.63	0.475	18.8	1.13
11.7	5.63	0.475	18.8	1.13
11.7	5.64	0.475	18.8	1.13
11.7	5.65	0.475	18.8	1.13
11.7	5.66	0.475	18.9	1.14
11.7	5.67	0.475	18.9	1.14
11.7	5.68	0.475	18.9	1.14
12.5	5.69	0.508	19.0	1.14
11.7	5.70	0.475	19.0	1.14
11.7	5.71	0.475	19.0	1.15
12.5	5.72	0.509	19.1	1.15
12.5	5.72	0.509	19.1	1.15
12.5	5.73	0.509	19.1	1.15
12.5	5.74	0.509	19.1	1.15
12.5	5.75	0.509	19.2	1.15
12.5	5.76	0.509	19.2	1.16
11.7	5.77	0.475	19.2	1.16
12.5	5.78	0.509	19.3	1.16
12.5	5.79	0.509	19.3	1.16
11.7	5.80	0.475	19.3	1.16
12.5	5.80	0.509	19.3	1.17
12.5	5.81	0.509	19.4	1.17
12.5	5.82	0.509	19.4	1.17
12.5	5.83	0.509	19.4	1.17
12.5	5.84	0.509	19.5	1.17
12.5	5.85	0.509	19.5	1.17
12.5	5.86	0.509	19.5	1.18
12.5	5.87	0.509	19.6	1.18
12.5	5.88	0.509	19.6	1.18
12.5	5.89	0.509	19.6	1.18
12.5	5.89	0.509	19.6	1.18
12.5	5.90	0.509	19.7	1.18
12.5	5.91	0.509	19.7	1.19
12.5	5.92	0.509	19.7	1.19
12.5	5.93	0.509	19.8	1.19
12.5	5.94	0.509	19.8	1.19
12.5	5.95	0.509	19.8	1.19
12.5	5.96	0.509	19.9	1.20
12.5	5.97	0.509	19.9	1.20
12.5	5.98	0.509	19.9	1.20
12.5	5.98	0.509	19.9	1.20
12.5	5.99	0.509	20.0	1.20
12.5	6.00	0.509	20.0	1.20
12.5	6.01	0.509	20.0	1.21
12.5	6.02	0.509	20.1	1.21
12.5	6.03	0.509	20.1	1.21
13.3	6.04	0.543	20.1	1.21
12.5	6.05	0.509	20.2	1.21
12.5	6.06	0.509	20.2	1.22
12.5	6.06	0.509	20.2	1.22
12.5	6.07	0.509	20.2	1.22
12.5	6.08	0.509	20.3	1.22
12.5	6.09	0.509	20.3	1.22
12.5	6.10	0.509	20.3	1.22
12.5	6.11	0.509	20.4	1.23
12.5	6.12	0.509	20.4	1.23
13.2	6.13	0.536	20.4	1.23
12.5	6.14	0.509	20.5	1.23
12.5	6.15	0.509	20.5	1.23
13.3	6.15	0.543	20.5	1.24
13.3	6.16	0.543	20.5	1.24
13.3	6.17	0.543	20.6	1.24
