Force (N),Position (mm),Strain (%),Stress (MPa)
63.3,0.0330,0.0330,0.0471
64.2,0.0340,0.0340,0.0477
64.2,0.0340,0.0340,0.0477
64.2,0.0340,0.0340,0.0477
64.2,0.0340,0.0340,0.0477
64.2,0.0340,0.0340,0.0477
65.0,0.0340,0.0340,0.0484
65.0,0.0340,0.0340,0.0484
65.0,0.0350,0.0350,0.0484
65.8,0.0350,0.0350,0.0490
65.8,0.0350,0.0350,0.0490
65.8,0.0350,0.0350,0.0490
65.8,0.0350,0.0350,0.0490
66.7,0.0350,0.0350,0.0496
66.7,0.0350,0.0350,0.0496
66.7,0.0350,0.0350,0.0496
66.7,0.0360,0.0360,0.0496
67.5,0.0360,0.0360,0.0502
67.5,0.0360,0.0360,0.0502
67.5,0.0360,0.0360,0.0502
67.5,0.0360,0.0360,0.0502
68.3,0.0360,0.0360,0.0508
68.3,0.0360,0.0360,0.0508
68.3,0.0370,0.0370,0.0508
68.3,0.0370,0.0370,0.0508
69.2,0.0370,0.0370,0.0515
69.2,0.0370,0.0370,0.0515
69.2,0.0370,0.0370,0.0515
69.2,0.0370,0.0370,0.0515
69.2,0.0370,0.0370,0.0515
70.0,0.0370,0.0370,0.0521
70.0,0.0380,0.0380,0.0521
70.0,0.0380,0.0380,0.0521
70.8,0.0380,0.0380,0.0527
70.8,0.0380,0.0380,0.0527
70.8,0.0380,0.0380,0.0527
71.7,0.0380,0.0380,0.0533
71.7,0.0380,0.0380,0.0533
71.7,0.0390,0.0390,0.0533
71.7,0.0390,0.0390,0.0533
72.5,0.0390,0.0390,0.0539
72.5,0.0390,0.0390,0.0539
72.5,0.0390,0.0390,0.0539
73.3,0.0390,0.0390,0.0546
73.3,0.0390,0.0390,0.0546
73.3,0.0400,0.0400,0.0546
73.3,0.0400,0.0400,0.0546
74.2,0.0400,0.0400,0.0552
74.2,0.0400,0.0400,0.0552
74.2,0.0400,0.0400,0.0552
75.0,0.0400,0.0400,0.0558
75.0,0.0400,0.0400,0.0558
75.8,0.0410,0.0410,0.0564
75.8,0.0410,0.0410,0.0564
75.8,0.0410,0.0410,0.0564
75.8,0.0410,0.0410,0.0564
76.7,0.0410,0.0410,0.0570
76.7,0.0410,0.0410,0.0570
76.7,0.0410,0.0410,0.0570
76.7,0.0420,0.0420,0.0570
77.5,0.0420,0.0420,0.0577
77.5,0.0420,0.0420,0.0577
77.5,0.0420,0.0420,0.0577
77.5,0.0420,0.0420,0.0577
78.3,0.0420,0.0420,0.0583
78.3,0.0420,0.0420,0.0583
78.3,0.0420,0.0420,0.0583
78.3,0.0430,0.0430,0.0583
78.3,0.0430,0.0430,0.0583
79.2,0.0430,0.0430,0.0589
79.2,0.0430,0.0430,0.0589
79.2,0.0430,0.0430,0.0589
79.2,0.0430,0.0430,0.0589
80.0,0.0430,0.0430,0.0595
80.0,0.0430,0.0430,0.0595
80.0,0.0440,0.0440,0.0595
80.0,0.0440,0.0440,0.0595
80.8,0.0440,0.0440,0.0601
80.8,0.0440,0.0440,0.0601
80.8,0.0440,0.0440,0.0601
80.8,0.0440,0.0440,0.0601
81.7,0.0440,0.0440,0.0608
81.7,0.0440,0.0440,0.0608
81.7,0.0450,0.0450,0.0608
82.5,0.0450,0.0450,0.0614
82.5,0.0450,0.0450,0.0614
82.5,0.0450,0.0450,0.0614
83.3,0.0450,0.0450,0.0620
83.3,0.0450,0.0450,0.0620
83.3,0.0460,0.0460,0.0620
84.2,0.0460,0.0460,0.0626
84.2,0.0460,0.0460,0.0626
84.2,0.0460,0.0460,0.0626
84.2,0.0460,0.0460,0.0626
85.0,0.0460,0.0460,0.0632
85.0,0.0460,0.0460,0.0632
85.0,0.0470,0.0470,0.0632
85.0,0.0470,0.0470,0.0632
85.8,0.0470,0.0470,0.0639
85.8,0.0470,0.0470,0.0639
85.8,0.0470,0.0470,0.0639
85.8,0.0470,0.0470,0.0639
86.7,0.0470,0.0470,0.0645
86.7,0.0480,0.0480,0.0645
87.5,0.0480,0.0480,0.0651
87.5,0.0480,0.0480,0.0651
87.5,0.0480,0.0480,0.0651
88.3,0.0480,0.0480,0.0657
88.3,0.0480,0.0480,0.0657
88.3,0.0480,0.0480,0.0657
89.2,0.0480,0.0480,0.0663
89.2,0.0490,0.0490,0.0663
89.2,0.0490,0.0490,0.0663
89.2,0.0490,0.0490,0.0663
89.2,0.0490,0.0490,0.0663
90.0,0.0490,0.0490,0.0670
90.0,0.0490,0.0490,0.0670
90.0,0.0490,0.0490,0.0670
90.0,0.0500,0.0500,0.0670
90.8,0.0500,0.0500,0.0676
90.8,0.0500,0.0500,0.0676
90.8,0.0500,0.0500,0.0676
90.8,0.0500,0.0500,0.0676
91.7,0.0500,0.0500,0.0682
91.7,0.0500,0.0500,0.0682
91.7,0.0500,0.0500,0.0682
91.7,0.0510,0.0510,0.0682
92.5,0.0510,0.0510,0.0688
92.5,0.0510,0.0510,0.0688
92.5,0.0510,0.0510,0.0688
93.3,0.0510,0.0510,0.0694
93.3,0.0510,0.0510,0.0694
93.3,0.0510,0.0510,0.0694
94.2,0.0510,0.0510,0.0701
94.2,0.0520,0.0520,0.0701
94.2,0.0520,0.0520,0.0701
94.2,0.0520,0.0520,0.0701
95.0,0.0520,0.0520,0.0707
95.0,0.0520,0.0520,0.0707
95.0,0.0520,0.0520,0.0707
95.0,0.0520,0.0520,0.0707
95.8,0.0530,0.0530,0.0713
95.8,0.0530,0.0530,0.0713
95.8,0.0530,0.0530,0.0713
96.7,0.0530,0.0530,0.0719
96.7,0.0530,0.0530,0.0719
96.7,0.0530,0.0530,0.0719
97.5,0.0540,0.0540,0.0725
97.5,0.0540,0.0540,0.0725
98.3,0.0540,0.0540,0.0732
98.3,0.0540,0.0540,0.0732
98.3,0.0540,0.0540,0.0732
98.3,0.0540,0.0540,0.0732
99.2,0.0540,0.0540,0.0738
99.2,0.0540,0.0540,0.0738
99.2,0.0550,0.0550,0.0738
100,0.0550,0.0550,0.0744
100,0.0550,0.0550,0.0744
100,0.0550,0.0550,0.0744
100,0.0550,0.0550,0.0744
101,0.0550,0.0550,0.0750
101,0.0550,0.0550,0.0750
101,0.0550,0.0550,0.0750
101,0.0560,0.0560,0.0750
102,0.0560,0.0560,0.0756
102,0.0560,0.0560,0.0756
102,0.0560,0.0560,0.0756
102,0.0560,0.0560,0.0756
103,0.0560,0.0560,0.0763
103,0.0560,0.0560,0.0763
103,0.0560,0.0560,0.0763
103,0.0570,0.0570,0.0763
103,0.0570,0.0570,0.0769
103,0.0570,0.0570,0.0769
103,0.0570,0.0570,0.0769
103,0.0570,0.0570,0.0769
104,0.0570,0.0570,0.0775
104,0.0570,0.0570,0.0775
105,0.0580,0.0580,0.0781
105,0.0580,0.0580,0.0781
105,0.0580,0.0580,0.0781
106,0.0580,0.0580,0.0787
106,0.0580,0.0580,0.0787
106,0.0580,0.0580,0.0787
106,0.0580,0.0580,0.0787
107,0.0590,0.0590,0.0794
107,0.0590,0.0590,0.0794
107,0.0590,0.0590,0.0794
107,0.0590,0.0590,0.0794
108,0.0590,0.0590,0.0800
108,0.0590,0.0590,0.0800
108,0.0590,0.0590,0.0800
108,0.0600,0.0600,0.0806
108,0.0600,0.0600,0.0806
108,0.0600,0.0600,0.0806
108,0.0600,0.0600,0.0806
109,0.0600,0.0600,0.0812
109,0.0600,0.0600,0.0812
110,0.0600,0.0600,0.0818
110,0.0600,0.0600,0.0818
110,0.0610,0.0610,0.0818
110,0.0610,0.0610,0.0818
111,0.0610,0.0610,0.0825
111,0.0610,0.0610,0.0825
111,0.0610,0.0610,0.0825
112,0.0610,0.0610,0.0831
112,0.0610,0.0610,0.0831
112,0.0610,0.0610,0.0831
112,0.0620,0.0620,0.0831
113,0.0620,0.0620,0.0837
113,0.0620,0.0620,0.0837
113,0.0620,0.0620,0.0843
113,0.0620,0.0620,0.0843
113,0.0620,0.0620,0.0843
113,0.0620,0.0620,0.0843
113,0.0620,0.0620,0.0843
114,0.0630,0.0630,0.0849
114,0.0630,0.0630,0.0849
114,0.0630,0.0630,0.0849
114,0.0630,0.0630,0.0849
115,0.0630,0.0630,0.0856
115,0.0630,0.0630,0.0856
115,0.0630,0.0630,0.0856
115,0.0640,0.0640,0.0856
116,0.0640,0.0640,0.0862
116,0.0640,0.0640,0.0862
116,0.0640,0.0640,0.0862
116,0.0640,0.0640,0.0862
117,0.0640,0.0640,0.0868
117,0.0640,0.0640,0.0868
117,0.0640,0.0640,0.0868
118,0.0650,0.0650,0.0874
118,0.0650,0.0650,0.0874
118,0.0650,0.0650,0.0874
118,0.0650,0.0650,0.0874
118,0.0650,0.0650,0.0874
118,0.0650,0.0650,0.0874
118,0.0650,0.0650,0.0874
118,0.0660,0.0660,0.0880
118,0.0660,0.0660,0.0880
118,0.0660,0.0660,0.0880
118,0.0660,0.0660,0.0880
118,0.0660,0.0660,0.0880
119,0.0660,0.0660,0.0887
119,0.0670,0.0670,0.0887
119,0.0670,0.0670,0.0887
120,0.0670,0.0670,0.0893
120,0.0670,0.0670,0.0893
120,0.0670,0.0670,0.0893
120,0.0670,0.0670,0.0893
121,0.0670,0.0670,0.0899
121,0.0670,0.0670,0.0899
121,0.0680,0.0680,0.0899
121,0.0680,0.0680,0.0899
121,0.0680,0.0680,0.0899
122,0.0680,0.0680,0.0905
122,0.0680,0.0680,0.0905
122,0.0680,0.0680,0.0905
122,0.0680,0.0680,0.0905
123,0.0680,0.0680,0.0911
123,0.0690,0.0690,0.0911
123,0.0690,0.0690,0.0911
123,0.0690,0.0690,0.0918
123,0.0690,0.0690,0.0918
123,0.0690,0.0690,0.0918
124,0.0690,0.0690,0.0924
124,0.0690,0.0690,0.0924
124,0.0690,0.0690,0.0924
125,0.0700,0.0700,0.0930
125,0.0700,0.0700,0.0930
125,0.0700,0.0700,0.0930
126,0.0700,0.0700,0.0936
126,0.0700,0.0700,0.0936
127,0.0700,0.0700,0.0942
127,0.0700,0.0700,0.0942
127,0.0710,0.0710,0.0942
127,0.0710,0.0710,0.0942
128,0.0710,0.0710,0.0949
128,0.0710,0.0710,0.0949
128,0.0710,0.0710,0.0949
128,0.0710,0.0710,0.0955
128,0.0710,0.0710,0.0955
128,0.0710,0.0710,0.0955
129,0.0720,0.0720,0.0961
129,0.0720,0.0720,0.0961
129,0.0720,0.0720,0.0961
129,0.0720,0.0720,0.0961
130,0.0720,0.0720,0.0967
130,0.0720,0.0720,0.0967
130,0.0720,0.0720,0.0967
131,0.0730,0.0730,0.0973
131,0.0730,0.0730,0.0973
131,0.0730,0.0730,0.0973
132,0.0730,0.0730,0.0980
132,0.0730,0.0730,0.0980
133,0.0730,0.0730,0.0986
133,0.0730,0.0730,0.0986
133,0.0740,0.0740,0.0986
133,0.0740,0.0740,0.0986
133,0.0740,0.0740,0.0992
133,0.0740,0.0740,0.0992
133,0.0740,0.0740,0.0992
134,0.0740,0.0740,0.0998
134,0.0740,0.0740,0.0998
134,0.0740,0.0740,0.0998
134,0.0750,0.0750,0.0998
135,0.0750,0.0750,0.100
135,0.0750,0.0750,0.100
135,0.0750,0.0750,0.100
136,0.0750,0.0750,0.101
136,0.0750,0.0750,0.101
137,0.0750,0.0750,0.102
137,0.0750,0.0750,0.102
137,0.0760,0.0760,0.102
138,0.0760,0.0760,0.102
138,0.0760,0.0760,0.102
138,0.0760,0.0760,0.102
138,0.0760,0.0760,0.103
138,0.0760,0.0760,0.103
138,0.0760,0.0760,0.103
138,0.0770,0.0770,0.103
139,0.0770,0.0770,0.104
139,0.0770,0.0770,0.104
139,0.0770,0.0770,0.104
140,0.0770,0.0770,0.104
140,0.0770,0.0770,0.104
140,0.0770,0.0770,0.104
141,0.0780,0.0780,0.105
141,0.0780,0.0780,0.105
141,0.0780,0.0780,0.105
142,0.0780,0.0780,0.105
142,0.0780,0.0780,0.105
143,0.0780,0.0780,0.106
143,0.0780,0.0780,0.106
143,0.0780,0.0780,0.106
143,0.0790,0.0790,0.107
143,0.0790,0.0790,0.107
143,0.0790,0.0790,0.107
144,0.0790,0.0790,0.107
144,0.0790,0.0790,0.107
144,0.0790,0.0790,0.107
144,0.0800,0.0800,0.107
145,0.0800,0.0800,0.108
145,0.0800,0.0800,0.108
146,0.0800,0.0800,0.109
146,0.0800,0.0800,0.109
146,0.0800,0.0800,0.109
147,0.0800,0.0800,0.109
147,0.0800,0.0800,0.109
147,0.0810,0.0810,0.109
147,0.0810,0.0810,0.109
148,0.0810,0.0810,0.110
148,0.0810,0.0810,0.110
148,0.0810,0.0810,0.110
148,0.0810,0.0810,0.110
148,0.0810,0.0810,0.110
148,0.0810,0.0810,0.110
148,0.0820,0.0820,0.110
148,0.0820,0.0820,0.110
149,0.0820,0.0820,0.111
149,0.0820,0.0820,0.111
150,0.0820,0.0820,0.112
150,0.0820,0.0820,0.112
151,0.0820,0.0820,0.112
151,0.0820,0.0820,0.112
151,0.0830,0.0830,0.112
152,0.0830,0.0830,0.113
152,0.0830,0.0830,0.113
152,0.0830,0.0830,0.113
153,0.0830,0.0830,0.113
